BE_19_31_05_00	Zem zemes ūdens uztveršanas sistēmas
BE_19_31_07_00	Zemes drenāžas sistēmas
BE_19_31_09_00	Notekūdeņu sistēmas
BE_19_31_11_00	Notekūdeņu uzglabāšanas un attīrīšanas sistēma
BE_19_31_13_00	Notekūdeņu filtrācijas sistēmas
BE_19_31_15_00	Notekūdeņu nosēdināšanas sistēmas
BE_19_31_17_00	Smaku kontroles sistēma
BE_19_31_19_00	Aerācijas sistēmas
BE_19_31_21_00	Nostādināšanas sistēmas
BE_19_31_23_00	Lietus ūdens kanalizācijas tīkli 
BE_19_31_25_00	Citas cauruļvadu sistēmas
BE_19_31_27_00	Kabeļu sistēmas
BE_19_31_29_00	Nostādināšanas sistēmas
BE_19_33_00_00	Lietus ūdens kanalizācijas tīkli 
BE_19_35_00_00	Citas cauruļvadu sistēmas
BE_21_00_00_00	Kabeļu sistēmas
BE_21_01_00_00	Iekšējās elektroapgādes sistēmas
BE_21_01_01_00	Apgaismojuma sistēmas
BE_21_01_03_00	Autouzlādes sistēmas
BE_21_01_05_00	Avārijas apgaismojuma sistēmas
BE_21_01_07_00	Elektroenerģijas ražošanas sistēmas
BE_21_01_09_00	Pārvades tīklu sistēmas
BE_21_01_11_00	Zemējuma sistēmas
BE_21_01_13_00	Zibensaizsardzības sistēmas
BE_21_01_15_00	Citas iekšējās elektroapgādes sistēmas
BE_21_03_00_00	Ārējās elektroapgādes sistēmas
BE_21_03_01_00	Apgaismojuma sistēmas
BE_21_03_03_00	Autouzlādes sistēmas
BE_21_03_05_00	Elektroenerģijas ražošanas sistēmas
BE_21_03_07_00	Pārvades tīklu sistēmas - augstsprieguma
BE_21_03_09_00	Pārvades tīklu sistēmas - zemsprieguma
BE_21_03_11_00	Zemējuma sistēmas
BE_21_03_13_00	Zibensaizsardzības sistēmas
BE_21_03_15_00	Citas ārējās elektroapgādes sistēmas
BE_21_05_00_00	Elektronisko sakaru, drošības un kontroles sistēmas
BE_21_05_01_00	Elektronisko sakaru sistēmas
BE_21_05_01_01	Centralizētās izziņošanas sistēmas
BE_21_05_01_03	Elektronisko sakaru inženiertīkli sistēmas
BE_21_05_01_05	Sarunu iekārtu sistēmas
BE_21_05_01_07	Citas elektronisko sakaru sistēmas
BE_21_05_03_00	Apsardzes sistēmas
BE_21_05_03_01	Apsardzes signalizācijas sistēmas
BE_21_05_03_03	Drošības pārbaudes sistēmas
BE_21_05_03_05	Novērošanas sistēmas
BE_21_05_03_07	Piekļuves kontroles sistēmas
BE_21_05_03_09	Citas apsardzes sistēmas
BE_21_05_05_00	Drošības un apziņošanas sistēmas
BE_21_05_05_01	Gāzes noplūdes noteikšanas sistēmas
BE_21_05_05_03	Izsaukumu signalizācijas sistēmas
BE_21_05_05_05	Šķidrumu noplūdes noteikšanas sistēmas
BE_21_05_05_07	Citas drošības un apziņošanas sistēmas
BE_21_05_07_00	Vides uzraudzības sistēmas
BE_21_05_07_01	Civilās trauksmes apziņošanas sistēmas
BE_21_05_07_03	Gāzes noplūdes noteikšanas sistēmas
BE_21_05_07_05	Meteoroloģiskās novērošanas sistēmas
BE_21_05_07_07	Piejaukumu noteikšanas sistēmas
BE_21_05_07_09	Citas vides uzraudzības sistēmas
BE_21_05_09_00	Vadības un automatizācijas sistēmas
BE_21_05_09_01	Iekārtu vadības un automatizācijas sistēmas
BE_21_05_09_03	Konstrukciju uzraudzības sistēmas 
BE_21_05_09_05	Skaitītāju un sensoru sistēmas
BE_21_05_09_07	Transporta kustības vadības sistēmas
BE_21_05_09_09	Citas vadības un automatizācijas sistēmas
BE_21_05_11_00	Reģistrācijas un biļešu pārvaldības sistēmas
BE_21_05_13_00	Citas elektronisko sakaru, drošības un kontroles sistēmas
BE_21_07_00_00	Ārējās elektronisko sakaru sistēmas
BE_21_07_01_00	Elektronisko sakaru inženiertīklu sistēmas
BE_21_07_03_00	Signalizācijas sistēmas
BE_21_07_05_00	Vadības un automatizācijas sistēmas
BE_21_07_07_00	Citas ārējās elektronisko sakaru sistēmas
BE_21_09_00_00	Ugunsdzēsības sistēmas
BE_21_09_01_00	Ugunsdzēsības automātikas sistēmas 
BE_21_09_03_00	Ugunsgrēka atklāšanas un trauksmes signalizācijas sistēmas
BE_21_11_00_00	Citas kabeļu sistēmas
BE_23_00_00	Tehnoloģija 
BE_23_01_00	Tehnoloģiskais aprīkojums (TN)
BE_23_01_01	Transportēšanas sistēmas
BE_23_01_03	Stacionarās iekārtas
BE_23_01_05	Cits tehnoloģiskais aprīkojums
